number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
2,0.27540950836001454,488,0.23125310066515672,0.30962251275108627,0.11073524537144314,freeze,0.00014122009798878728,3,800,480.0,2016.0
23404,0.2754099717170212,442,0.23199259161454946,0.10570159885986839,0.12268342968257093,no freeze,0.0002890214195330484,3,416,416.0,1824.0
241,0.27551414461019874,460,0.16946276756407,0.22612800387743442,0.1461719207065423,no freeze,0.00015627142924189348,3,416,2080.0,800.0
433,0.2755286113843498,464,0.10325672892237697,0.11203069227394337,0.24656923611108164,no freeze,0.00014040413689319015,3,608,1056.0,1952.0
60,0.2755344888904623,406,0.20545455736777432,0.22533079473047027,0.23844343285685193,no freeze,0.00014536882069961097,3,672,2144.0,1888.0
7264,0.2756957014350384,362,0.1600882717718595,0.2167468704409888,0.4380083778725309,no freeze,0.00016408959534954434,3,352,2080.0,1312.0
2081,0.2757711771724738,490,0.17226467268427068,0.11243258213952845,0.10255766652633914,no freeze,0.00020029593501074436,3,480,2144.0,1184.0
51,0.2759838000362466,380,0.19793264679277026,0.17503282674178233,0.27780674355274915,no freeze,0.00017291269450229457,3,352,736.0,1696.0
22469,0.2761373128564234,341,0.11202517115236714,0.19483426424424802,0.16263319991714367,no freeze,0.000312834396732461,3,352,2080.0,1184.0
5508,0.27640167375121194,402,0.10704895108408334,0.10275113110612116,0.15912361976941058,no freeze,0.00020535851240945663,3,352,2080.0,864.0
18617,0.27649836671562666,481,0.3731586973981962,0.10000710676308466,0.14163631768155877,no freeze,0.0002171552627311896,3,480,2144.0,1632.0
12027,0.2765081014044861,464,0.18574918061269205,0.24521912027355938,0.11933041647997042,no freeze,0.000164757978302712,3,416,2080.0,1376.0
5055,0.2768542600641538,424,0.18107003538512437,0.10652335333158074,0.2194788289779897,no freeze,0.00016055595756471792,3,608,2016.0,1056.0
1135,0.276913502222993,322,0.19068112929077166,0.17680940603504683,0.1293580374000365,no freeze,0.00019542064825726064,3,416,2144.0,1504.0
21577,0.2769190854570543,358,0.11180034734873572,0.10001263618762846,0.26151930451136374,no freeze,0.00014634649695731444,3,608,2080.0,1120.0
22087,0.27702101949336994,418,0.11700006475407278,0.3429435658257782,0.20252438675176426,no freeze,0.00015403273939064538,3,352,2144.0,1056.0
5857,0.27724453990883946,432,0.18427830022206507,0.10479014259867941,0.16019133401812197,no freeze,0.00020022841192921128,3,352,2080.0,1888.0
13339,0.27734154294443586,401,0.4163562808275849,0.10294771664381426,0.16158184475065832,no freeze,0.00022683753813610206,3,480,2016.0,1248.0
3646,0.27739495575794704,400,0.2213048644909919,0.18202819159971675,0.11116887465539899,no freeze,0.0001488490685313423,3,480,2144.0,1248.0
379,0.27762965835800474,441,0.1350674413714456,0.1581168125323192,0.15523484411397687,no freeze,0.0001333066364537062,3,992,2080.0,1760.0
7244,0.2779772707735295,353,0.30631884768532397,0.18675113450097058,0.1406678790524851,no freeze,0.00023028287393524473,3,352,2144.0,1248.0
47,0.27831840671962144,138,0.18790221775765495,0.23356523833724183,0.13288351444663724,freeze,5.3613288763415424e-05,3,2016,1312.0,928.0
11190,0.279082203972155,401,0.15974998898166629,0.11422018792767187,0.13265342099016178,no freeze,0.0002623796169836172,3,480,2080.0,800.0
24332,0.27915574594492953,455,0.2966453843715854,0.1028680586339052,0.1349985209373267,no freeze,0.00022156065765607718,3,416,2144.0,1504.0
979,0.27934512595348443,301,0.2731363989835675,0.14925587288570813,0.24555222968219811,no freeze,0.00023177520326354584,3,352,992.0,864.0
137,0.27961309201381346,521,0.18024808940122117,0.19135482944036675,0.13294980220917382,no freeze,0.0001425837422647831,3,416,2016.0,1376.0
5457,0.2796176845061513,418,0.1715014959818364,0.1750544147661246,0.13199458615115026,no freeze,0.00015889867860942913,3,480,1312.0,1312.0
13791,0.2799034269193545,456,0.13433532134282988,0.10720015454069176,0.2542336956988248,no freeze,0.0003146568224641748,3,480,2144.0,1120.0
17780,0.28013494830715563,454,0.23675121546390365,0.11457666471610241,0.14010959697211978,no freeze,0.0002746886286741082,3,416,2080.0,1248.0
6666,0.2807007959737331,363,0.17190927906868927,0.2125201603729411,0.1667805584554214,no freeze,0.0003856902481760765,3,352,1504.0,1056.0
3542,0.2808537289131049,358,0.14304050058246912,0.10000116219754825,0.48513802894946995,no freeze,0.00022380769708015873,3,352,1952.0,1248.0
